"REF_DATE","GEO","DGUID","Household type including census family structure (11)","Household size (7)","Number of earners in household (6)","Ages of household members (18)","Household total income groups (22)","Year (2)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Grand Falls-Windsor (CA), N.L.","2021S0504010","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Median total income of household ($)","2015","","0","units","0","","5.1.1.1.7.22.2","65500","","","","0"
"2021","Grand Falls-Windsor (CA), N.L.","2021S0504010","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Total - Total income of households","2020","","0","units","0","","5.1.1.1.13.1.1","6125","","","","0"
"2021","Grand Falls-Windsor (CA), N.L.","2021S0504010","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Total - Total income of households","2015","","0","units","0","","5.1.1.1.13.1.2","6090","","","","0"
"2021","Grand Falls-Windsor (CA), N.L.","2021S0504010","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Median total income of household ($)","2020","","0","units","0","","5.1.1.1.13.22.1","66000","","","","0"
"2021","Grand Falls-Windsor (CA), N.L.","2021S0504010","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Median total income of household ($)","2015","","0","units","0","","5.1.1.1.13.22.2","65500","","","","0"
"2021","St. John's (CMA), N.L.","2021S0503001","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Total - Total income of households","2020","","0","units","0","","6.1.1.1.1.1.1","90000","","","","0"
"2021","St. John's (CMA), N.L.","2021S0503001","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Total - Total income of households","2015","","0","units","0","","6.1.1.1.1.1.2","85990","","","","0"
"2021","St. John's (CMA), N.L.","2021S0503001","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Median total income of household ($)","2020","","0","units","0","","6.1.1.1.1.22.1","85000","","","","0"
"2021","St. John's (CMA), N.L.","2021S0503001","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Median total income of household ($)","2015","","0","units","0","","6.1.1.1.1.22.2","86000","","","","0"
"2021","St. John's (CMA), N.L.","2021S0503001","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Total - Total income of households","2020","","0","units","0","","6.1.1.1.7.1.1","90000","","","","0"
"2021","St. John's (CMA), N.L.","2021S0503001","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Total - Total income of households","2015","","0","units","0","","6.1.1.1.7.1.2","85990","","","","0"
"2021","St. John's (CMA), N.L.","2021S0503001","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Median total income of household ($)","2020","","0","units","0","","6.1.1.1.7.22.1","85000","","","","0"
"2021","St. John's (CMA), N.L.","2021S0503001","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Median total income of household ($)","2015","","0","units","0","","6.1.1.1.7.22.2","86000","","","","0"
"2021","St. John's (CMA), N.L.","2021S0503001","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Total - Total income of households","2020","","0","units","0","","6.1.1.1.13.1.1","90000","","","","0"
"2021","St. John's (CMA), N.L.","2021S0503001","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Total - Total income of households","2015","","0","units","0","","6.1.1.1.13.1.2","85990","","","","0"
"2021","St. John's (CMA), N.L.","2021S0503001","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Median total income of household ($)","2020","","0","units","0","","6.1.1.1.13.22.1","85000","","","","0"
"2021","St. John's (CMA), N.L.","2021S0503001","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Median total income of household ($)","2015","","0","units","0","","6.1.1.1.13.22.2","86000","","","","0"
"2021","Prince Edward Island","2021A000211","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Total - Total income of households","2020","","0","units","0","","7.1.1.1.1.1.1","64570","","","","0"
"2021","Prince Edward Island","2021A000211","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Total - Total income of households","2015","","0","units","0","","7.1.1.1.1.1.2","59475","","","","0"
"2021","Prince Edward Island","2021A000211","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Median total income of household ($)","2020","","0","units","0","","7.1.1.1.1.22.1","73500","","","","0"
"2021","Prince Edward Island","2021A000211","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Median total income of household ($)","2015","","0","units","0","","7.1.1.1.1.22.2","66000","","","","0"
"2021","Prince Edward Island","2021A000211","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Total - Total income of households","2020","","0","units","0","","7.1.1.1.7.1.1","64570","","","","0"
"2021","Prince Edward Island","2021A000211","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Total - Total income of households","2015","","0","units","0","","7.1.1.1.7.1.2","59475","","","","0"
"2021","Prince Edward Island","2021A000211","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Median total income of household ($)","2020","","0","units","0","","7.1.1.1.7.22.1","73500","","","","0"
"2021","Prince Edward Island","2021A000211","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Median total income of household ($)","2015","","0","units","0","","7.1.1.1.7.22.2","66000","","","","0"
"2021","Prince Edward Island","2021A000211","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Total - Total income of households","2020","","0","units","0","","7.1.1.1.13.1.1","64570","","","","0"
"2021","Prince Edward Island","2021A000211","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Total - Total income of households","2015","","0","units","0","","7.1.1.1.13.1.2","59475","","","","0"
"2021","Prince Edward Island","2021A000211","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Median total income of household ($)","2020","","0","units","0","","7.1.1.1.13.22.1","73500","","","","0"
"2021","Prince Edward Island","2021A000211","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Median total income of household ($)","2015","","0","units","0","","7.1.1.1.13.22.2","66000","","","","0"
"2021","Charlottetown (CA), P.E.I.","2021S0504105","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Total - Total income of households","2020","","0","units","0","","8.1.1.1.1.1.1","32940","","","","0"
"2021","Charlottetown (CA), P.E.I.","2021S0504105","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Total - Total income of households","2015","","0","units","0","","8.1.1.1.1.1.2","29920","","","","0"
"2021","Charlottetown (CA), P.E.I.","2021S0504105","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Median total income of household ($)","2020","","0","units","0","","8.1.1.1.1.22.1","76500","","","","0"
"2021","Charlottetown (CA), P.E.I.","2021S0504105","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Median total income of household ($)","2015","","0","units","0","","8.1.1.1.1.22.2","69000","","","","0"
"2021","Charlottetown (CA), P.E.I.","2021S0504105","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Total - Total income of households","2020","","0","units","0","","8.1.1.1.7.1.1","32940","","","","0"
"2021","Charlottetown (CA), P.E.I.","2021S0504105","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Total - Total income of households","2015","","0","units","0","","8.1.1.1.7.1.2","29920","","","","0"
"2021","Charlottetown (CA), P.E.I.","2021S0504105","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Median total income of household ($)","2020","","0","units","0","","8.1.1.1.7.22.1","76500","","","","0"
"2021","Charlottetown (CA), P.E.I.","2021S0504105","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Median total income of household ($)","2015","","0","units","0","","8.1.1.1.7.22.2","69000","","","","0"
"2021","Charlottetown (CA), P.E.I.","2021S0504105","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Total - Total income of households","2020","","0","units","0","","8.1.1.1.13.1.1","32940","","","","0"
"2021","Charlottetown (CA), P.E.I.","2021S0504105","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Total - Total income of households","2015","","0","units","0","","8.1.1.1.13.1.2","29920","","","","0"
"2021","Charlottetown (CA), P.E.I.","2021S0504105","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Median total income of household ($)","2020","","0","units","0","","8.1.1.1.13.22.1","76500","","","","0"
"2021","Charlottetown (CA), P.E.I.","2021S0504105","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Median total income of household ($)","2015","","0","units","0","","8.1.1.1.13.22.2","69000","","","","0"
"2021","Summerside (CA), P.E.I.","2021S0504110","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Total - Total income of households","2020","","0","units","0","","9.1.1.1.1.1.1","7950","","","","0"
"2021","Summerside (CA), P.E.I.","2021S0504110","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Total - Total income of households","2015","","0","units","0","","9.1.1.1.1.1.2","7330","","","","0"
"2021","Summerside (CA), P.E.I.","2021S0504110","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Median total income of household ($)","2020","","0","units","0","","9.1.1.1.1.22.1","64500","","","","0"
"2021","Summerside (CA), P.E.I.","2021S0504110","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Median total income of household ($)","2015","","0","units","0","","9.1.1.1.1.22.2","58000","","","","0"
"2021","Summerside (CA), P.E.I.","2021S0504110","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Total - Total income of households","2020","","0","units","0","","9.1.1.1.7.1.1","7950","","","","0"
"2021","Summerside (CA), P.E.I.","2021S0504110","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Total - Total income of households","2015","","0","units","0","","9.1.1.1.7.1.2","7330","","","","0"
"2021","Summerside (CA), P.E.I.","2021S0504110","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Median total income of household ($)","2020","","0","units","0","","9.1.1.1.7.22.1","64500","","","","0"
"2021","Summerside (CA), P.E.I.","2021S0504110","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Median total income of household ($)","2015","","0","units","0","","9.1.1.1.7.22.2","58000","","","","0"
"2021","Summerside (CA), P.E.I.","2021S0504110","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Total - Total income of households","2020","","0","units","0","","9.1.1.1.13.1.1","7950","","","","0"
"2021","Summerside (CA), P.E.I.","2021S0504110","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Total - Total income of households","2015","","0","units","0","","9.1.1.1.13.1.2","7330","","","","0"
"2021","Summerside (CA), P.E.I.","2021S0504110","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Median total income of household ($)","2020","","0","units","0","","9.1.1.1.13.22.1","64500","","","","0"
"2021","Summerside (CA), P.E.I.","2021S0504110","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Median total income of household ($)","2015","","0","units","0","","9.1.1.1.13.22.2","58000","","","","0"
"2021","Nova Scotia","2021A000212","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Total - Total income of households","2020","","0","units","0","","10.1.1.1.1.1.1","428225","","","","0"
"2021","Nova Scotia","2021A000212","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Total - Total income of households","2015","","0","units","0","","10.1.1.1.1.1.2","401990","","","","0"
"2021","Nova Scotia","2021A000212","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Median total income of household ($)","2020","","0","units","0","","10.1.1.1.1.22.1","71500","","","","0"
"2021","Nova Scotia","2021A000212","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Median total income of household ($)","2015","","0","units","0","","10.1.1.1.1.22.2","66000","","","","0"
"2021","Nova Scotia","2021A000212","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Total - Total income of households","2020","","0","units","0","","10.1.1.1.7.1.1","428225","","","","0"
"2021","Nova Scotia","2021A000212","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Total - Total income of households","2015","","0","units","0","","10.1.1.1.7.1.2","401990","","","","0"
"2021","Nova Scotia","2021A000212","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Median total income of household ($)","2020","","0","units","0","","10.1.1.1.7.22.1","71500","","","","0"
"2021","Nova Scotia","2021A000212","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Median total income of household ($)","2015","","0","units","0","","10.1.1.1.7.22.2","66000","","","","0"
"2021","Nova Scotia","2021A000212","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Total - Total income of households","2020","","0","units","0","","10.1.1.1.13.1.1","428225","","","","0"
"2021","Nova Scotia","2021A000212","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Total - Total income of households","2015","","0","units","0","","10.1.1.1.13.1.2","401990","","","","0"
"2021","Nova Scotia","2021A000212","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Median total income of household ($)","2020","","0","units","0","","10.1.1.1.13.22.1","71500","","","","0"
"2021","Nova Scotia","2021A000212","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 65 years and over","Median total income of household ($)","2015","","0","units","0","","10.1.1.1.13.22.2","66000","","","","0"
"2021","Cape Breton (CA), N.S.","2021S0504225","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Total - Total income of households","2020","","0","units","0","","11.1.1.1.1.1.1","43800","","","","0"
"2021","Cape Breton (CA), N.S.","2021S0504225","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Total - Total income of households","2015","","0","units","0","","11.1.1.1.1.1.2","43080","","","","0"
"2021","Cape Breton (CA), N.S.","2021S0504225","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Median total income of household ($)","2020","","0","units","0","","11.1.1.1.1.22.1","62000","","","","0"
"2021","Cape Breton (CA), N.S.","2021S0504225","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Median total income of household ($)","2015","","0","units","0","","11.1.1.1.1.22.2","57200","","","","0"
"2021","Cape Breton (CA), N.S.","2021S0504225","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Total - Total income of households","2020","","0","units","0","","11.1.1.1.7.1.1","43800","","","","0"
"2021","Cape Breton (CA), N.S.","2021S0504225","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 17 years","Total - Total income of households","2015","","0","units","0","","11.1.1.1.7.1.2","43080","","","","0"
